No.,Company Name,Category/Sector/Domain,Primary Location,Strategic Context,Estimated Email Format
319,Bolna AI,Voice AI,,,{first}@bolna.ai
320,Paasa,Fintech,,,{first}@paasa.ai
321,Yenmo,Fintech,,,{first}@yenmo.in
322,PayCrunch,Fintech,,,{first}@paycrunch.in
323,ClickPe,Fintech,,,{first}@clickpe.com
324,SuperAPI,DevTool,,,{first}@superapi.io
325,Brik,Construction SaaS,,,{first}@brik.build
326,Databrain,Data SaaS,,,{first}@databrain.io
327,Dhiwise,DevTool,,,{first}@dhiwise.com
328,Dpanda,E-commerce SaaS,,,{first}@dpanda.in
329,Fishlog,B2B Marketplace,,,{first}@fishlog.co
330,Mello,Social / B2C,,,{first}@mello.app
331,Lovable,AI App Builder,,,{first}@lovable.ai
332,Airalo,Travel Tech,,,{first}@airalo.com
333,Peec.ai,Marketing AI,,,{first}@peec.ai
334,Reebelo,E-commerce,,,{first}@reebelo.com
335,Taqtic,AI Productivity,,,{first}@taqtic.ai
336,Wingbits,Aviation AI,,,{first}@wingbits.com
337,0-mission,Climate Tech,,,{first}@0-mission.com
338,12iD,Identity Tech,,,{first}@12id.com
339,19VPN,Cybersecurity,,,{first}@19vpn.com
340,5.Y GLUCOSE,Agentic AI,,,{first}@5yglucose.ai
341,913.ai,B2B AI,,,{first}@913.ai
342,ABIVO,B2B SaaS,,,{first}@abivo.ai
343,ACSIRYO K.K.,Healthtech,,,{first}@acsiryo.com
344,AEOFLO,SEO AI,,,{first}@aeoflo.ai
345,AIFluence,Marketing AI,,,{first}@aifluence.com
346,AIKA,Fintech,,,{first}@aika.io
347,ALFI AI,Wealth AI,,,{first}@alfi.ai
348,ARCA,Cleantech,,,{first}@arca.com
349,ARDOR,B2B Software,,,{first}@ardor.ai
350,ARKI,Real Estate AI,,,{first}@arki.ai
351,AURELIA,Food Compliance,,,{first}@aurelia.ai
352,AWAN,Fashion Tech,,,{first}@awan.com
353,Abel Studios,Media Tech,,,{first}@abelstudios.com
354,Abode,PropTech,,,{first}@abode.io
355,Abode Labs,PropTech AI,,,{first}@abodelabs.ai
356,Abstraction.dev,DevOps Tool,,,{first}@abstraction.dev
357,Academlo,Edtech SaaS,,,{first}@academlo.com
358,Acanthis,B2B SaaS,,,{first}@acanthis.io
359,Acceleq,Healthtech,,,{first}@acceleq.com
360,Aerotime,Productivity,,,{first}@aerotime.com
361,AI Rudder,Voice AI,,,{first}@airudder.com
362,Airmeet,Event Tech,,,{first}@airmeet.com
363,Akulaku,Fintech,,,{first}@akulaku.com
364,Animall,Agtech,,,{first}@animall.in
365,Arbo Works,Fintech,,,{first}@arbo.works
366,Arrow,E-commerce,,,{first}@arrow.com
367,Aspire,Fintech SaaS,,,{first}@aspireapp.com
368,Astro,Quick Commerce,,,{first}@astro.id
369,Aukera,Lab Diamonds,,,{first}@aukera.com
370,Auquan,FinTech,,,{first}@auquan.com
371,Axio,Lending,,,{first}@axio.co.in
372,BankBazaar,Fintech,,,{first}.{last}@bankbazaar.com
373,Basis Technologies,Enterprise AI,,,{first}@basis.ai
374,Beam,Mobility,,,{first}@ridebeam.com
375,BeautyHaul,E-commerce,,,{first}@beautyhaul.com
376,Belong,Recruitment SaaS,,,{first}@belong.co
377,Beta Finance,DeFi,,,{first}@betafinance.org
378,Better Auth,Security Tech,,,{first}@betterauth.com
379,Plum,Insurtech,,,{first}@plumhq.com
380,Elivaas,PropTech,,,{first}@elivaas.com
381,MasterChow,Food Brand,,,{first}@masterchow.in
382,Vault Wealth,Wealth Tech,,,{first}@vaultwealth.com
383,Thanks,Consumer,,,{first}@thanks.com
384,Round1,AI Recruitment,,,{first}@round1.ai
385,MPL,Esports Tech,,,{first}.{last}@mpl.com
386,FinBox,Fintech Infra,,,{first}@finbox.in
387,NSE,Stock Exchange,,,{first}.{last}@nse.co.in
388,Kapiva,Health Brand,,,{first}.{last}@kapiva.in
389,Stan,Gaming Tech,,,{first}@stan.gg
390,Seekho,Edtech SaaS,,,{first}@seekho.ai
391,Flipspaces,Interior SaaS,,,{first}@flipspaces.com
392,VAMA,Spiritual Tech,,,{first}@vama.app
393,PayU,Payments,,,{first}.{last}@payu.in
394,TransBnk,Banking Tech,,,{first}@transbnk.com
395,Truemeds,E-pharmacy,,,{first}.{last}@truemeds.in
396,Fyno,Messaging,,,{first}@fyno.io
397,Cashify,Device Re-comm.,,,{first}.{last}@cashify.in
398,Swift,Checkout SaaS,,,{first}@swift.com
399,Cashfree,Payments,,,{first}.{last}@cashfree.com
400,HD Works,Casual Gaming,,,{first}.{last}@hdworks.in
401,CSTEP,Policy / S&T,Bengaluru,,{first}@cstep.in
402,CEEW,Energy / Water,New Delhi,,{first}.{last}@ceew.in
403,ORF,Int. Relations,New Delhi,,{first}@orfonline.org
404,CPR India,Governance,New Delhi,,{first}@cprindia.org
405,NITI Aayog,Apex Think Tank,New Delhi,,{first}.{last}@gov.in
406,ICWA,Diplomacy,New Delhi,,{first}@icwa.in
407,RIS,Global South,New Delhi,,{first}@ris.org.in
408,TERI,Energy / Resources,New Delhi,,{first}@teri.res.in
409,VIF,Strategic Affairs,New Delhi,,{first}@vifindia.org
410,CCS,Civil Society,New Delhi,,{first}@ccs.in
411,ATREE,Ecology,Bengaluru,,{first}@atree.org
412,IEG,Economic Growth,New Delhi,,{first}@iegindia.org
413,TCOE,Telecom,New Delhi,,{first}@tcoe.in
414,ADR India,Politics,New Delhi,,{first}@adrindia.org
415,CAPS,Air Power,New Delhi,,{first}@capsindia.org
416,CDS,Development,Thiruvananthapuram,,{first}@cds.edu
417,CSEP,Climate / IR,New Delhi,,{first}@csep.org
418,CLAWS,Land Warfare,New Delhi,,{first}@claws.in
419,CMIE,Economic Data,Mumbai,,{first}@cmie.com
420,CPPR,Policy Research,Kochi,,{first}@cppr.in
421,CSE,Environment,New Delhi,,{first}@cseindia.org
422,C3S,China Studies,Chennai,,{first}@c3sindia.org
423,ECIPH,Public Health,Mangalore,,{first}@eciph.in
424,FFE,Entrepreneurship,Mumbai,,{first}@ffe.org
425,FDR India,Governance,Hyderabad,,{first}@fdrindia.org
426,IICA,Corporate Affairs,New Delhi,,{first}.{last}@iica.in
427,IDSA,Defense,New Delhi,,{first}@idsa.in
428,ISID,Industrial Dev,New Delhi,,{first}@isid.org.in
429,IFS India,Food Security,Gurugram,,{first}@ifs.org.in
430,IPH Bengaluru,Public Health,Bengaluru,,{first}@iphindia.org
431,ISEC,Social Change,Bengaluru,,{first}@isec.ac.in
432,ICFOSS,Open Source,Thiruvananthapuram,,{first}@icfoss.in
433,IGC India,Growth,New Delhi,,{first}@theigc.org
434,NCDS,Development,Bhubaneswar,,{first}@ncds.nic.in
435,NAAS,Agriculture,New Delhi,,{first}@naasindia.org
436,NCCD,Cold Chain,New Delhi,,{first}@nccd.gov.in
437,NCAER,Applied Economics,New Delhi,,{first}@ncaer.org
438,NIAS,Advanced Studies,Bengaluru,,{first}@nias.res.in
439,NIPFP,Public Finance,New Delhi,,{first}@nipfp.org.in
440,NMF,Maritime,New Delhi,,{first}@maritimeindia.org
441,Digital India Corp,Digital Arm,New Delhi,,{first}.{last}@dic.gov.in
442,India AI,AI Research,New Delhi,,{first}@indiaai.gov.in
443,BHASHINI,Voice Tech,New Delhi,,{first}@bhashini.gov.in
444,DRDO,Defense Research,PAN India,,{first}.{last}@drdo.in
445,ISRO,Space Research,Bengaluru,,{first}.{last}@isro.gov.in
446,NIC,IT Infrastructure,New Delhi,,{first}.{last}@nic.in
447,ICERT,Cybersecurity,New Delhi,,{first}@cert-in.org.in
448,BARC,Nuclear Research,Mumbai,,{first}@barc.gov.in
449,STQC,Standardization,New Delhi,,{first}@stqc.gov.in
450,NIELIT,Electronics / IT,New Delhi,,{first}@nielit.gov.in
451,CDAC,Advanced Comp.,Pune,,{first}.{last}@cdac.in
452,BSNL,Telecom,New Delhi,,{first}.{last}@bsnl.co.in
453,BEL,Electronics,Bengaluru,,{first}.{last}@bel-india.in
454,HAL,Aerospace,Bengaluru,,{first}.{last}@hal-india.co.in
455,ONGC,Energy,New Delhi,,{first}.{last}@ongc.co.in
456,IOCL,Energy,New Delhi,,{first}.{last}@iocl.com
457,BHEL,Engineering,New Delhi,,{first}.{last}@bhel.in
458,NTPC,Power,New Delhi,,{first}.{last}@ntpc.co.in
459,GAIL,Energy,New Delhi,,{first}.{last}@gail.co.in
460,PGCIL,Power Grid,Gurugram,,{first}.{last}@powergrid.in
461,NHAI,Infrastructure,New Delhi,,{first}.{last}@nhai.org
462,AAI,Airports,New Delhi,,{first}.{last}@aai.aero
463,Indian Railways,Transportation,New Delhi,,{first}.{last}@railnet.gov.in
464,CPWD,Public Works,New Delhi,,{first}.{last}@nic.in
465,Prasar Bharati,Media,New Delhi,,{first}.{last}@prasarbharati.gov.in
466,NABARD,Finance,Mumbai,,{first}.{last}@nabard.org
467,SIDBI,Finance,Lucknow,,{first}.{last}@sidbi.in
468,EXIM Bank,Finance,Mumbai,,{first}.{last}@eximbankindia.in
469,NPCI,Fintech Arm,Mumbai,,{first}.{last}@npci.org.in
470,UIDAI,Digital ID,New Delhi,,{first}.{last}@uidai.net.in
471,Meity,Ministry IT,New Delhi,,{first}.{last}@meity.gov.in
472,Invest India,Investment,New Delhi,,{first}@investindia.org.in
473,Startup India,Ecosystem,New Delhi,,{first}@startupindia.gov.in
474,MyGov,Engagement,New Delhi,,{first}@mygov.in
475,NKN,Knowledge Network,New Delhi,,{first}@nkn.in
476,GeM,E-marketplace,New Delhi,,{first}.{last}@gem.gov.in
477,GSTN,Fintech,New Delhi,,{first}.{last}@gstn.org.in
478,ONDC,Open Commerce,New Delhi,,{first}@ondc.org
479,BHIM,Payments,Mumbai,,{first}@npci.org.in
480,DigiLocker,Digital Docs,New Delhi,,{first}@digitallocker.gov.in
481,Umang,Gov Services,New Delhi,,{first}@umang.gov.in
482,Aarogya Setu,Healthtech,New Delhi,,{first}@aarogyasetu.gov.in
483,CoWIN,Healthtech,New Delhi,,{first}@cowin.gov.in
484,Sahmati,Account Aggregator,Bengaluru,,{first}@sahmati.org.in
485,iSPIRT,Tech Policy,Bengaluru,,{first}@ispirt.in
486,NASSCOM,Tech Industry,Noida,,{first}@nasscom.in
487,CII,Industry,New Delhi,,{first}.{last}@cii.in
488,FICCI,Commerce,New Delhi,,{first}.{last}@ficci.com
489,ASSOCHAM,Commerce,New Delhi,,{first}.{last}@assocham.com
490,ICMR,Medical Research,New Delhi,,{first}.{last}@icmr.gov.in
491,CSIR,Science Research,New Delhi,,{first}.{last}@csir.res.in
492,TIFR,Fundamental Res,Mumbai,,{first}@tifr.res.in
493,IISc,Science Research,Bengaluru,,{first}@iisc.ac.in
494,IIT Madras Research Park,Innovation Hub,Chennai,,{first}@itmrp.com
495,Foundation for Innovation,SINE IITB,Mumbai,,{first}@sineiitb.org
496,FITT IIT Delhi,Tech Transfer,New Delhi,,{first}@fitt-iitd.org
497,Society for Innov. (SID),IISc Hub,Bengaluru,,{first}@sid.iisc.ac.in
498,AIC-IIITB,Incubation,Bengaluru,,{first}@iiitb.ac.in
499,T-Hub,Innovation Hub,Hyderabad,,{first}@t-hub.co
500,Kerala Startup Mission,Ecosystem,Kochi,,{first}@startupmission.in
